Frequency (Hz) - Voltage (Power Spectrum),Amplitude - Voltage (Power Spectrum)
42.6,-69.694024
42.7,-70.186744
42.8,-69.431115
42.9,-69.48552
43,-70.346433
43.1,-70.020225
43.2,-69.917236
43.3,-70.265442
43.4,-69.574096
43.5,-70.156041
43.6,-70.372178
43.7,-70.086434
43.8,-71.235568
43.9,-70.699172
44,-70.452419
44.1,-70.43059
44.2,-70.514914
44.3,-71.150717
44.4,-70.867299
44.5,-70.460738
44.6,-70.876398
44.7,-70.833677
44.8,-70.999884
44.9,-70.873541
45,-70.857202
45.1,-71.204505
45.2,-71.839443
45.3,-71.706404
45.4,-70.925849
45.5,-71.459999
45.6,-71.681186
45.7,-71.323464
45.8,-72.246748
45.9,-71.521916
46,-71.898722
46.1,-72.086932
46.2,-72.06513
46.3,-71.93347
46.4,-71.534829
46.5,-72.150496
46.6,-72.717157
46.7,-72.023295
46.8,-72.042878
46.9,-72.116977
47,-72.250259
47.1,-72.42986
47.2,-72.724319
47.3,-72.131948
47.4,-72.66696
47.5,-72.682411
47.6,-72.616877
47.7,-72.904448
47.8,-72.580826
47.9,-73.062157
48,-73.219392
48.1,-73.212991
48.2,-72.889219
48.3,-72.405607
48.4,-73.937239
48.5,-73.091638
48.6,-73.860434
48.7,-73.054316
48.8,-73.856924
48.9,-74.167852
49,-73.859043
49.1,-73.658058
49.2,-73.864216
49.3,-72.984087
49.4,-73.7837
49.5,-73.491792
49.6,-73.118582
49.7,-74.195465
49.8,-74.359912
49.9,-73.426845
50,-74.14774
50.1,-73.991961
50.2,-73.911877
50.3,-73.720792
50.4,-74.082077
50.5,-74.082305
50.6,-74.813044
50.7,-76.188616
50.8,-74.745566
50.9,-74.629498
51,-74.086584
51.1,-73.781838
51.2,-74.53989
51.3,-74.485521
51.4,-74.686102
51.5,-74.841669
51.6,-74.356822
51.7,-75.169078
51.8,-74.86188
51.9,-75.205967
52,-74.389195
52.1,-75.077436
52.2,-75.296817
52.3,-75.654929
52.4,-74.384814
52.5,-75.062809
52.6,-75.48284
52.7,-75.484087
52.8,-75.536919
52.9,-75.71003
53,-75.487003
53.1,-75.669431
53.2,-76.00796
53.3,-76.292656
53.4,-76.337191
53.5,-76.127251
53.6,-75.715029
53.7,-76.451006
53.8,-75.576302
53.9,-75.827936
54,-76.727178
54.1,-75.669658
54.2,-75.50921
54.3,-76.14247
54.4,-76.845356
54.5,-76.215154
54.6,-76.892375
54.7,-76.220428
54.8,-77.243628
54.9,-76.939248
55,-75.129861
55.1,-77.345254
55.2,-76.795385
55.3,-77.666021
55.4,-77.684476
55.5,-76.72708
55.6,-78.60886
55.7,-77.211844
55.8,-77.192494
55.9,-77.97859
56,-78.637622
56.1,-77.963731
56.2,-78.211335
56.3,-81.226663
56.4,-79.057308
56.5,-80.335622
56.6,-79.690877
56.7,-81.7597
56.8,-84.518956
56.9,-85.296208
57,-86.523118
57.1,-91.331893
57.2,-87.443337
57.3,-88.612374
57.4,-82.274415
57.5,-81.116315
57.6,-80.674559
57.7,-79.972589
57.8,-79.255495
57.9,-78.37422
58,-78.129589
58.1,-80.152561
58.2,-78.445906
58.3,-77.140493
58.4,-79.413141
58.5,-77.440594
58.6,-77.622318
58.7,-76.971888
58.8,-77.042889
58.9,-78.059536
59,-77.900302
59.1,-77.501859
